local_datetime,day_ahead_price,SP,imbalance_price,valueSum,temperature,TCO2_per_h,gCO2_per_kWh,nuclear,biomass,coal,gas,hydro,wind,solar,demand,pumped_storage,wind_onshore,wind_offshore,belgian,dutch,french,ireland,northern_ireland,irish
2010-01-01 00:00:00+00:00,32.91,1.0,55.77,55.77,1.1,16268.0,429.0,7.897,0,9.902,17.705,0.104,1.046,0,37.948,-0.435,,,0.0,0.0,1.963,0.0,0.0,-0.234
2010-01-01 00:30:00+00:00,33.25,2.0,59.89,59.89,1.1,16432.0,430.0,7.897,0,10.074,17.713,0.103,1.05,0,38.227,-0.348,,,0.0,0.0,1.974,0.0,0.0,-0.236
2010-01-01 01:00:00+00:00,32.07,3.0,53.15,53.15,1.1,16318.0,431.0,7.893,0,10.049,17.479,0.09,1.064,0,37.898,-0.424,,,0.0,0.0,1.983,0.0,0.0,-0.236
2010-01-01 01:30:00+00:00,31.99,4.0,38.48,38.48,1.1,15768.0,427.0,7.896,0,9.673,16.979,0.09,1.108,0,36.918,-0.575,,,0.0,0.0,1.983,0.0,0.0,-0.236
2010-01-01 02:00:00+00:00,31.47,5.0,37.7,37.7,1.1,15250.0,424.0,7.9,0,9.37,16.386,0.09,1.111,0,35.961,-0.643,,,0.0,0.0,1.983,0.0,0.0,-0.236
2010-01-01 02:30:00+00:00,30.8,6.0,38.34,38.34,1.1,15060.0,423.0,7.897,0,9.151,16.423,0.091,1.094,0,35.561,-0.841,,,0.0,0.0,1.982,0.0,0.0,-0.236
2010-01-01 03:00:00+00:00,29.2,7.0,36.8,36.8,1.1,14758.0,426.0,7.899,0,8.791,16.511,0.091,1.13,0,34.61,-1.559,,,0.0,0.0,1.983,0.0,0.0,-0.236
2010-01-01 03:30:00+00:00,28.65,8.0,36.06,36.06,1.1,14114.0,424.0,7.902,0,8.296,16.055,0.091,0.991,0,33.255,-1.826,,,0.0,0.0,1.982,0.0,0.0,-0.236
2010-01-01 04:00:00+00:00,27.53,9.0,36.35,36.35,1.1,13382.0,416.0,7.926,0,7.74,15.517,0.091,0.996,0,32.193,-1.824,,,0.0,0.0,1.983,0.0,0.0,-0.236
2010-01-01 04:30:00+00:00,27.45,10.0,35.86,35.86,1.1,12894.0,410.0,7.932,0,7.333,15.244,0.091,0.934,0,31.466,-1.815,,,0.0,0.0,1.982,0.0,0.0,-0.235
2010-01-01 05:00:00+00:00,27.38,11.0,35.9,35.9,1.1,12552.0,406.0,7.929,0,7.02,15.098,0.091,0.965,0,30.94,-1.93,,,0.0,0.0,1.983,0.0,0.0,-0.216
2010-01-01 05:30:00+00:00,27.04,12.0,35.26,35.26,1.1,12496.0,408.0,7.928,0,7.011,14.979,0.091,0.889,0,30.639,-2.027,,,0.0,0.0,1.983,0.0,0.0,-0.215
2010-01-01 06:00:00+00:00,27.59,13.0,35.45,35.45,1.1,12592.0,409.0,7.928,0,7.091,15.011,0.091,0.912,0,30.779,-2.04,,,0.0,0.0,1.982,0.0,0.0,-0.196
2010-01-01 06:30:00+00:00,27.68,14.0,25.16,25.16,1.1,12308.0,400.0,7.958,0,6.816,14.97,0.091,0.99,0,30.757,-1.833,,,0.0,0.0,1.984,0.0,0.0,-0.219
2010-01-01 07:00:00+00:00,26.27,15.0,24.41,24.41,1.1,11706.0,385.0,7.955,0,6.289,14.859,0.106,0.967,0,30.386,-1.41,,,0.0,0.0,1.976,0.0,0.0,-0.356
2010-01-01 07:30:00+00:00,26.33,16.0,18.47,18.47,1.1,11468.0,384.0,7.961,0,6.119,14.788,0.106,1.008,0,29.882,-1.385,,,0.0,0.0,1.715,0.0,0.0,-0.43
2010-01-01 08:00:00+00:00,26.26,17.0,24.27,24.27,1.1,11374.0,380.0,7.964,0,6.092,14.567,0.106,1.026,0,29.91,-1.392,,,0.0,0.0,1.977,0.0,0.0,-0.43
2010-01-01 08:30:00+00:00,26.12,18.0,24.33,24.33,1.1,11536.0,374.0,7.962,0,6.165,14.804,0.117,0.989,0,30.808,-0.78,,,0.0,0.0,1.981,0.0,0.0,-0.43
2010-01-01 09:00:00+00:00,26.59,19.0,23.91,23.91,1.1,11912.0,368.0,7.968,0,6.508,14.945,0.192,0.97,0,32.361,0.227,,,0.0,0.0,1.981,0.0,0.0,-0.43
2010-01-01 09:30:00+00:00,26.68,20.0,25.07,25.07,1.1,12832.0,378.0,7.969,0,7.078,15.923,0.192,0.916,0,33.94,0.309,,,0.0,0.0,1.983,0.0,0.0,-0.43
