local_datetime,day_ahead_price,SP,imbalance_price,valueSum,temperature,TCO2_per_h,gCO2_per_kWh,nuclear,biomass,coal,gas,hydro,wind,solar,demand,pumped_storage,wind_onshore,wind_offshore,belgian,dutch,french,ireland,northern_ireland,irish
2012-01-01 00:00:00+00:00,42.18,1.0,30.6,30.6,9.6,12410.0,389.0,7.091,0,9.103,8.463,0.749,4.152,0,31.875,-0.401,,,0.0,0.993,1.725,0.0,0.0,0.0
2012-01-01 00:30:00+00:00,43.48,2.0,30.62,30.62,9.6,12206.0,378.0,6.963,0,8.889,8.454,0.759,4.223,0,32.27,0.265,,,0.0,0.992,1.725,0.0,0.0,0.0
2012-01-01 01:00:00+00:00,42.28,3.0,30.58,30.58,9.6,11978.0,378.0,6.941,0,8.645,8.455,0.757,4.18,0,31.68,-0.016,,,0.0,0.993,1.725,0.0,0.0,0.0
2012-01-01 01:30:00+00:00,38.48,4.0,30.56,30.56,9.6,11622.0,381.0,6.948,0,8.297,8.377,0.756,4.169,0,30.52,-0.744,,,0.0,0.992,1.725,0.0,0.0,0.0
2012-01-01 02:00:00+00:00,37.28,5.0,29.82,29.82,9.6,11140.0,377.0,6.947,0,7.812,8.307,0.746,4.216,0,29.557,-1.189,,,0.0,0.993,1.725,0.0,0.0,0.0
2012-01-01 02:30:00+00:00,36.24,6.0,28.96,28.96,9.6,10492.0,367.0,6.94,0,7.215,8.083,0.747,4.106,0,28.555,-1.253,,,0.0,0.992,1.725,0.0,0.0,0.0
2012-01-01 03:00:00+00:00,32.16,7.0,27.07,27.07,9.6,9548.0,349.0,6.945,0,6.265,7.946,0.746,4.129,0,27.375,-1.375,,,0.0,0.993,1.726,0.0,0.0,0.0
2012-01-01 03:30:00+00:00,30.28,8.0,24.0,24.0,9.6,9010.0,342.0,6.947,0,5.681,7.968,0.745,4.075,0,26.363,-1.77,,,0.0,0.992,1.725,0.0,0.0,0.0
2012-01-01 04:00:00+00:00,30.19,9.0,25.33,25.33,9.6,8672.0,341.0,6.99,0,5.427,7.715,0.745,4.083,0,25.419,-2.258,,,0.0,0.992,1.725,0.0,0.0,0.0
2012-01-01 04:30:00+00:00,29.44,10.0,23.6,23.6,9.6,8252.0,333.0,7.106,0,5.109,7.407,0.746,4.021,0,24.771,-2.336,,,0.0,0.993,1.725,0.0,0.0,0.0
